@ident;@phi;@lambda;@alt;@theta;@length;@width;@number;@designator;Vasi.PRIMARY.@biasZ;Vasi.PRIMARY.@pitch;Vasi.SECONDARY.@biasZ;Vasi.SECONDARY.@pitch;OffsetThreshold.PRIMARY.@length;OffsetThreshold.SECONDARY.@length;RunwayDeformation.0;RunwayDeformation.
AYHU;-0.1290290351943691;2.548225442256102;1369.369;1.2675712001338113;407.074;15.923;7;;;;;;;;1342.932;1395.806
AYHW;-0.09986252145771461;2.4665021648126144;54.602;4.5849328210993;554.333;25.0;26;;;;;;;;55.94;53.265
AYHX;-0.11557828172792572;2.534170872278277;1434.296;6.131899120419166;544.404;25.0;35;;;;;;;;1430.961;1437.632
AYHY;-0.10948934750508922;2.4906969104951733;766.837;0.1157775416684114;597.376;25.0;36;;;;;;;;756.727;776.948
AYIB;-0.08172779688507366;2.461462478348492;258.05;0.6762630219762157;603.839;25.0;4;;;;;;;;260.655;255.446
AYIC;-0.13783803737038253;2.537651727852741;9.135;2.192352404793078;1054.551;51.315;12;;;;;;;;13.249;5.021
AYIF;-0.05602731058523136;2.467154041108736;296.545;4.836603016051575;391.734;18.856;27;;;;;;;;295.313;297.778
AYIH;-0.12898531735048827;2.5336232883873055;41.568;2.281074646521883;1111.196;25.0;13;;;;;;;;39.376;43.761
AYII;-0.11784556483222483;2.550063592971029;1150.889;4.273519482252483;486.331;40.625;24;;;;;;;;1132.091;1169.689
AYIK;-0.16059592832217437;2.5876991384254198;777.6;3.5400233965520664;704.205;34.024;20;;;;;;;;777.12;778.081
AYIL;-0.09891251416038314;2.6371810589898366;794.784;5.016577179727025;570.321;5.957;28;;;;;;;;784.528;805.041
AYIM;-0.09897142294559907;2.4614331731735284;98.565;3.250075687642603;396.895;25.0;18;;;;;;;;102.0;95.133
AYIN;-0.08581139811488464;2.463618679157196;1641.069;5.273291725283415;450.076;17.925;29;;;;;;;;1641.069;1641.069
AYIO;-0.058093916439088907;2.4636782647858437;290.836;5.096752893174664;653.089;25.0;29;;;;;;;;288.607;293.066
AYIP;-0.08783988032359648;2.5110244888013553;1544.972;3.2808463659540386;457.356;15.0;18;;;;;;;;1515.089;1574.856
AYIQ;-0.11005095005237525;2.7179691377680695;8.805;2.482050357086581;1520.723;26.955;14;;;;;;;;9.162;8.448
AYIR;-0.08084748300503848;2.4939073954018993;49.093;0.9836681772892424;599.575;23.907;5;;;;;;;;47.725;50.461
AYIS;-0.104338015034272;2.55900078188082;2129.758;2.886247667897444;386.1816;25.0;16;;;;;;;;2116.669;2142.847
AYIT;-0.07402694345076047;2.470038907758821;70.232;2.135967623445224;709.386;22.11;12;;;;;;;;72.069;68.396
AYIU;-0.10957451859566415;2.5131721461684764;2040.566;1.9035875927841537;943.724;17.42;10;;;;;;;;2031.445;2049.688
AYIW;-0.1445709422800401;2.4935581441913275;7.715;0.9335631778565265;577.327;33.645;5;;;;;;;;8.364;7.067
AYIX;-0.08184229655730174;2.6082116763901992;17.033;1.8909324721773304;625.906;38.667;11;;;;;;;;17.033;17.033
AYIY;-0.08556989959835921;2.4717463321141846;762.24;1.9891447671809295;637.216;29.891;11;;;;;;;;741.705;782.777
AYJB;-0.0986405635411197;2.6442912621754817;72.13;2.8643291250191982;1777.734;58.068;16;;;;;;;;75.956;68.304
AYJE;-0.09140544470652201;2.523761074919862;1827.095;3.605853027147088;455.644;22.791;20;;;;;;;;1809.384;1844.808
AYJL;-0.0946409513640756;2.530921891169935;139.218;0.1618186728375523;518.356;36.161;36;;;;;;;;147.548;130.888
AYJO;-0.14885197893382898;2.5736727344970145;1959.343;3.8043407708630683;296.703;23.0;21;;;;;;;;1940.011;1978.675
AYJS;-0.08284231224625487;2.530855775074982;73.104;3.5878745650552193;1070.366;56.197;20;;;;;;;;72.382;73.826
AYKA;-0.14846305923661965;2.6368603951490908;6.553;5.576655605620033;1723.694;25.0;32;;;;;;;;8.2296;4.8768
AYKC;-0.10808579464147873;2.6101081097614043;97.8408;6.129426687000791;1406.878;25.0;35;;;;;;;;105.256;90.43
AYKG;-0.09404595332287606;2.487055750308141;1321.494;2.3750747639087186;803.857;16.013;13;;;;;;;;1332.046;1310.9448
AYKH;-0.10041254939715748;2.478243506305664;136.561;1.2146383309805517;613.88;25.0;7;;;;;;;;128.148;144.976
AYKI;-0.10690636082761196;2.4658360026338095;26.974;4.420480743126461;1199.223;21.945600000000002;25;;;;;;;;31.0896;22.86
AYKJ;-0.09230886098886497;2.5256530064044975;1209.73;1.7026554281842925;367.481;25.0;9;;;;;;;;1233.59;1185.872
AYKK;-0.1295853536815528;2.51763984336695;12.344;2.1642245040350123;761.015;27.796;12;;;;;;;;11.277600000000001;13.411200000000001
AYKL;-0.06543319504093043;2.4886370672239573;266.436;2.557891196271042;284.351;25.0;14;;;;;;;;275.983;256.891
AYKM;-0.1389917589360881;2.5441905191377394;2.286;2.5480278170692463;943.617;13.402;14;;;;;;;;2.1336;2.4384
AYKN;-0.15168626567896276;2.561400615115888;53.799;3.492460381908418;398.131;25.0;19;;;;;;;;55.547;52.052
AYKO;-0.1550680465894261;2.5783960717534464;376.384;3.1352574574709045;1073.372;35.838;17;;;;;;;;365.496;387.273
AYKQ;-0.11372667801834192;2.5256173346100526;1138.867;2.5564396059321584;556.69;36.489;14;;;;;;;;1125.453;1152.281
AYKR;-0.07952836977296328;2.5471406046263554;22.478;5.917033730601247;892.015;14.74;33;;;;;;;;41.692;3.265
AYKU;-0.12452891192902917;2.50063836340802;9.056;1.7008270212599033;757.707;51.913;9;;;;;;;;10.138;7.975
AYKV;-0.045018062062983186;2.632096049373061;4.114;5.325544614160098;1694.657;27.542;30;;;;541.747;0.05235987755982989;;;4.572;3.6576000000000004
AYKW;-0.13921292289131168;2.4927151912884793;23.64;5.774662685660015;1067.426;31.87;33;;;;;;;;23.04;24.241
AYKX;-0.12267390254615682;2.5441252924969784;1776.667;4.412329880986722;502.15;25.0;25;;;;;;;;1793.498;1759.837
